backbone,ci95,comparator,condition,family,favorable_direction,mean,method,metric,per_seed,split,task,task_clusters,training_seed_sd
transformer,"[0.0, 3.645833333333334]",framewise,all,core,positive,1.736111111111111,fixed_training_task_cluster_20000_rng1701,success,"[1.5625, 1.5625, 2.0833333333333335]",extrapolation,pusht,64,0.30070326520293017
transformer,"[0.11805555555555555, 0.8368055555555556]",framewise,all,core,positive,0.4513888888888889,fixed_training_task_cluster_20000_rng1701,budget_penalized_commands,"[0.3125, 0.5677083333333333, 0.47395833333333337]",extrapolation,pusht,64,0.12909244059042568
transformer,"[-11.31365571625801, 10.550559584617918]",framewise,all,core,positive,-0.4003812691825708,fixed_training_task_cluster_20000_rng1701,block_translation_error_px,"[7.885707443367485, -4.493832682093588, -4.593018568821612]",extrapolation,pusht,64,7.1761346889686095
transformer,"[-30.974885077195832, 2.814519017971195]",framewise,all,core,positive,-13.92531064003297,fixed_training_task_cluster_20000_rng1701,agent_position_error_px,"[-67.37868941567102, -36.339409532965185, 61.94216702853729]",extrapolation,pusht,64,67.51122017674167
transformer,"[-0.05461830833434082, 0.08352737940068976]",framewise,all,core,positive,0.01384641087559041,fixed_training_task_cluster_20000_rng1701,block_angle_error_rad,"[-0.013158355792285463, -0.00395329822725669, 0.05865088664631338]",extrapolation,pusht,64,0.039073828299910025
transformer,"[-33.49357335305228, 2.8208520796259564]",framewise,all,core,positive,-15.488246947929506,fixed_training_task_cluster_20000_rng1701,position_error_px,"[-60.52234108386413, -38.62067432801726, 52.67827456809285]",extrapolation,pusht,64,60.04104215756749
transformer,"[-0.5208333333333335, 8.854166666666668]",framewise,"[0, 3]",core,positive,3.6458333333333335,fixed_training_task_cluster_20000_rng1701,success,"[3.125, 4.6875, 3.125]",extrapolation,pusht,64,0.9021097956087902
transformer,"[0.08854166666666663, 1.7083333333333335]",framewise,"[0, 3]",core,positive,0.8125,fixed_training_task_cluster_20000_rng1701,budget_penalized_commands,"[0.125, 1.828125, 0.484375]",extrapolation,pusht,64,0.8977239013889515
transformer,"[-23.40430354909887, 20.515747480329814]",framewise,"[0, 3]",core,positive,-1.2711084338067355,fixed_training_task_cluster_20000_rng1701,block_translation_error_px,"[32.175505157922956, -9.725229900038544, -26.263600559304614]",extrapolation,pusht,64,30.122855053624583
transformer,"[-22.87407118157601, 32.45059500809461]",framewise,"[0, 3]",core,positive,4.481057899771305,fixed_training_task_cluster_20000_rng1701,agent_position_error_px,"[19.536740429019545, -1.0397752638248159, -5.053791465880807]",extrapolation,pusht,64,13.192166760381896
transformer,"[-0.1299636242698914, 0.2168396775871671]",framewise,"[0, 3]",core,positive,0.044016893666584476,fixed_training_task_cluster_20000_rng1701,block_angle_error_rad,"[0.05446346093943737, -0.08356220946151854, 0.16114942952183456]",extrapolation,pusht,64,0.12268983103468444
transformer,"[-32.587338486359826, 27.903828816303555]",framewise,"[0, 3]",core,positive,-2.5562455698140583,fixed_training_task_cluster_20000_rng1701,position_error_px,"[35.239338144562076, -11.684719524563956, -31.223355329440302]",extrapolation,pusht,64,34.15873509823966
transformer,"[-1.0416666666666667, 3.125]",framewise,"[3, 0]",core,positive,1.0416666666666667,fixed_training_task_cluster_20000_rng1701,success,"[0.0, 0.0, 3.125]",extrapolation,pusht,64,1.8042195912175805
transformer,"[-0.17187500000000003, 1.0208333333333333]",framewise,"[3, 0]",core,positive,0.3645833333333333,fixed_training_task_cluster_20000_rng1701,budget_penalized_commands,"[0.28125, -0.125, 0.9375]",extrapolation,pusht,64,0.5361295513524071
transformer,"[-3.1694152244412916, 4.484524086914611]",framewise,"[3, 0]",core,positive,0.6512735716251581,fixed_training_task_cluster_20000_rng1701,block_translation_error_px,"[0.2485631451676289, -0.97089041730487, 2.6761479870127154]",extrapolation,pusht,64,1.8565705066937381
transformer,"[-36.81290006859867, 12.034655890531349]",framewise,"[3, 0]",core,positive,-13.410985016489315,fixed_training_task_cluster_20000_rng1701,agent_position_error_px,"[-101.79702867526296, -42.071325887437546, 103.63539951323258]",extrapolation,pusht,64,105.6725224075992
transformer,"[-0.04321151222212702, 0.05107406291896429]",framewise,"[3, 0]",core,positive,0.003956345339649563,fixed_training_task_cluster_20000_rng1701,block_angle_error_rad,"[-0.04788118723421782, 0.04566477416640332, 0.014085449086763187]",extrapolation,pusht,64,0.04758845217730315
transformer,"[-36.44925776562273, 11.866938739019822]",framewise,"[3, 0]",core,positive,-13.28888192003537,fixed_training_task_cluster_20000_rng1701,position_error_px,"[-101.4226508746932, -41.36112800477743, 102.91713311936451]",extrapolation,pusht,64,105.02249797479718
transformer,"[0.0, 1.5625]",framewise,"[3, 3]",core,positive,0.5208333333333334,fixed_training_task_cluster_20000_rng1701,success,"[1.5625, 0.0, 0.0]",extrapolation,pusht,64,0.9021097956087902
transformer,"[0.0, 0.47395833333333337]",framewise,"[3, 3]",core,positive,0.17708333333333334,fixed_training_task_cluster_20000_rng1701,budget_penalized_commands,"[0.53125, 0.0, 0.0]",extrapolation,pusht,64,0.3067173305069887
transformer,"[-19.82928308293306, 17.885835427872898]",framewise,"[3, 3]",core,positive,-0.5813089453661373,fixed_training_task_cluster_20000_rng1701,block_translation_error_px,"[-8.766945972988129, -2.7853777289373465, 9.808396865827067]",extrapolation,pusht,64,9.481786740742251
transformer,"[-56.6974336364881, -8.81564143644837]",framewise,"[3, 3]",core,positive,-32.84600480338089,fixed_training_task_cluster_20000_rng1701,agent_position_error_px,"[-119.87578000076962, -65.9071274476332, 87.24489303826013]",extrapolation,pusht,64,107.44543579375015
transformer,"[-0.12552856307203403, 0.1124805110538534]",framewise,"[3, 3]",core,positive,-0.006434006379462773,fixed_training_task_cluster_20000_rng1701,block_angle_error_rad,"[-0.04605734108207592, 0.026037540613345192, 0.0007177813303424173]",extrapolation,pusht,64,0.03657566188401492
