family,task,backbone,split,mode,condition,n,physical_task_seeds,success_percent,final_success_percent,support_successes,eligible_n,eligible_success_percent,metric,max,mean,median,min,q25,q75,actual_calls_mean,success_calls_mean,budget_penalized_commands_mean,failures
core,pusht,transformer,extrapolation,factorized,all,576,64,6.770833333333333,6.770833333333333,15,561,4.278074866310161,agent_position_error_px,1186.5609482648877,372.2841438330514,372.86204733233535,6.977395078460273,192.91343510786618,528.0200499004945,47.91840277777778,19.256410256410255,47.91840277777778,537
core,pusht,transformer,extrapolation,factorized,all,576,64,6.770833333333333,6.770833333333333,15,561,4.278074866310161,block_angle_error_rad,3.1203707703238104,0.9227169973493015,0.5408511813367731,0.0,0.14667553731396488,1.5536143198134114,47.91840277777778,19.256410256410255,47.91840277777778,537
core,pusht,transformer,extrapolation,factorized,all,576,64,6.770833333333333,6.770833333333333,15,561,4.278074866310161,block_translation_error_px,1242.9976847136618,129.1791578833548,76.2135417942285,0.0,32.47787701261552,189.15890612348056,47.91840277777778,19.256410256410255,47.91840277777778,537
core,pusht,transformer,extrapolation,factorized,all,576,64,6.770833333333333,6.770833333333333,15,561,4.278074866310161,position_error_px,1258.269163904284,416.93616368835814,431.95254314786166,8.134547952292845,253.25405351654354,565.2401037155935,47.91840277777778,19.256410256410255,47.91840277777778,537
core,pusht,transformer,extrapolation,factorized,"[0, 3]",192,64,9.375,9.375,3,189,7.936507936507937,agent_position_error_px,1186.5609482648877,214.04123701926596,166.90534753132175,7.27256982084342,76.45072253052041,286.4540628605985,47.822916666666664,26.77777777777778,47.822916666666664,174
core,pusht,transformer,extrapolation,factorized,"[0, 3]",192,64,9.375,9.375,3,189,7.936507936507937,block_angle_error_rad,3.1203707703238104,1.1774873821642406,0.7609449383297568,0.0,0.21901255285744758,2.132788622391471,47.822916666666664,26.77777777777778,47.822916666666664,174
core,pusht,transformer,extrapolation,factorized,"[0, 3]",192,64,9.375,9.375,3,189,7.936507936507937,block_translation_error_px,1242.9976847136618,166.37014970491342,97.11552170258256,0.0,42.503495921813155,271.955928926129,47.822916666666664,26.77777777777778,47.822916666666664,174
core,pusht,transformer,extrapolation,factorized,"[0, 3]",192,64,9.375,9.375,3,189,7.936507936507937,position_error_px,1258.269163904284,293.45029636775763,234.26501615055543,8.134547952292845,117.07780878890182,405.8531799197987,47.822916666666664,26.77777777777778,47.822916666666664,174
core,pusht,transformer,extrapolation,factorized,"[3, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,agent_position_error_px,830.2912504986596,417.0305666862805,440.4461028751809,6.977395078460273,306.27972479750895,538.9136167923489,46.90625,12.875,46.90625,176
core,pusht,transformer,extrapolation,factorized,"[3, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,block_angle_error_rad,1.9626832575279094,0.43235597216855054,0.2690998037990635,0.0,0.0497643385769877,0.7275374723155892,46.90625,12.875,46.90625,176
core,pusht,transformer,extrapolation,factorized,"[3, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,block_translation_error_px,273.7569686005655,55.10960051747366,47.47132655352269,0.0,12.432478166109853,75.93177261407942,46.90625,12.875,46.90625,176
core,pusht,transformer,extrapolation,factorized,"[3, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,position_error_px,835.8919200570763,424.014432773053,451.01476342822383,10.600441646400398,325.7956417274587,546.3722932342016,46.90625,12.875,46.90625,176
core,pusht,transformer,extrapolation,factorized,"[3, 3]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,agent_position_error_px,980.0639336664296,485.7806277936077,485.308140903299,15.368484203023847,351.3325216759631,606.3747366617229,49.026041666666664,12.6,49.026041666666664,187
core,pusht,transformer,extrapolation,factorized,"[3, 3]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,block_angle_error_rad,3.0886782633993826,1.1583076377151131,0.8552390406975576,0.0,0.29511711475447067,2.1558661753700035,49.026041666666664,12.6,49.026041666666664,187
core,pusht,transformer,extrapolation,factorized,"[3, 3]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,block_translation_error_px,970.8537260610016,166.05772342767725,146.53331188079108,0.0,50.65502699814664,249.35037369859492,49.026041666666664,12.6,49.026041666666664,187
core,pusht,transformer,extrapolation,factorized,"[3, 3]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,position_error_px,1067.073491586811,533.3437619242638,527.3960878598959,15.368484203023847,426.676456258575,661.7493454120586,49.026041666666664,12.6,49.026041666666664,187
core,pusht,transformer,extrapolation,factorized_unpaired,all,576,64,5.208333333333333,5.208333333333333,15,561,2.6737967914438503,agent_position_error_px,1036.6446274549626,361.9946695381267,365.67609791818387,1.3642282411899023,184.05851360998113,514.6240716653169,48.267361111111114,16.733333333333334,48.267361111111114,546
core,pusht,transformer,extrapolation,factorized_unpaired,all,576,64,5.208333333333333,5.208333333333333,15,561,2.6737967914438503,block_angle_error_rad,3.1226604458044322,0.9046507036686925,0.5408511813367731,0.0,0.15649559587271267,1.5296468442587665,48.267361111111114,16.733333333333334,48.267361111111114,546
core,pusht,transformer,extrapolation,factorized_unpaired,all,576,64,5.208333333333333,5.208333333333333,15,561,2.6737967914438503,block_translation_error_px,579.0444037733229,123.26580144029157,77.67393120538135,0.0,34.26460978761633,188.4916613811283,48.267361111111114,16.733333333333334,48.267361111111114,546
core,pusht,transformer,extrapolation,factorized_unpaired,all,576,64,5.208333333333333,5.208333333333333,15,561,2.6737967914438503,position_error_px,1131.2898412133823,403.20969652984627,416.59375733974514,1.3642282411899023,262.83965523526535,545.2344627203811,48.267361111111114,16.733333333333334,48.267361111111114,546
