environment,mode,metric,status,mean,training_seed_sd,available_seeds
pusht,frozen,canonical_success,complete,29.6875,,[0]
pusht,frozen,heldout_success,complete,4.6875,,[0]
pusht,frozen,heldout_eligible_success,complete,3.1746031746031744,,[0]
pusht,frozen,extrapolation_success,complete,7.291666666666667,,[0]
pusht,frozen,heldout_mse_h5,complete,1.1854087383738563,,[0]
pusht,framewise,canonical_success,complete,10.9375,1.5625,"[0, 1, 2]"
pusht,framewise,heldout_success,complete,3.6458333333333335,0.9021097956087902,"[0, 1, 2]"
pusht,framewise,heldout_eligible_success,complete,2.1164021164021163,0.9164289987136917,"[0, 1, 2]"
pusht,framewise,extrapolation_success,complete,5.034722222222222,0.7955860581520556,"[0, 1, 2]"
pusht,framewise,heldout_mse_h5,complete,0.5713310841604956,0.015498996205184416,"[0, 1, 2]"
pusht,single,canonical_success,complete,14.583333333333334,3.2526031241658324,"[0, 1, 2]"
pusht,single,heldout_success,complete,2.0833333333333335,0.9021097956087902,"[0, 1, 2]"
pusht,single,heldout_eligible_success,complete,0.5291005291005291,0.9164289987136917,"[0, 1, 2]"
pusht,single,extrapolation_success,complete,7.638888888888889,1.0842010413886116,"[0, 1, 2]"
pusht,single,heldout_mse_h5,complete,0.7215965823920164,0.02872603469648795,"[0, 1, 2]"
pusht,factorized_unpaired,canonical_success,complete,16.145833333333332,5.4873196629441345,"[0, 1, 2]"
pusht,factorized_unpaired,heldout_success,complete,2.6041666666666665,0.9021097956087902,"[0, 1, 2]"
pusht,factorized_unpaired,heldout_eligible_success,complete,1.0582010582010581,0.9164289987136917,"[0, 1, 2]"
pusht,factorized_unpaired,extrapolation_success,complete,5.208333333333333,1.3779954745128076,"[0, 1, 2]"
pusht,factorized_unpaired,heldout_mse_h5,complete,0.5632631853292575,0.008283612183285594,"[0, 1, 2]"
pusht,factorized,canonical_success,complete,16.666666666666668,0.9021097956087902,"[0, 1, 2]"
pusht,factorized,heldout_success,complete,2.6041666666666665,0.9021097956087902,"[0, 1, 2]"
pusht,factorized,heldout_eligible_success,complete,1.0582010582010581,0.9164289987136917,"[0, 1, 2]"
pusht,factorized,extrapolation_success,complete,6.770833333333333,0.5208333333333335,"[0, 1, 2]"
pusht,factorized,heldout_mse_h5,complete,0.5503280177923544,0.009850043999790777,"[0, 1, 2]"
pusht,plain,canonical_success,complete,13.020833333333334,3.932205435036849,"[0, 1, 2]"
pusht,plain,heldout_success,complete,2.0833333333333335,0.9021097956087902,"[0, 1, 2]"
pusht,plain,heldout_eligible_success,complete,0.5291005291005291,0.9164289987136917,"[0, 1, 2]"
pusht,plain,extrapolation_success,complete,6.076388888888889,1.0842010413886107,"[0, 1, 2]"
pusht,plain,heldout_mse_h5,complete,0.5168443337045624,0.006709341182021229,"[0, 1, 2]"
reacher,frozen,canonical_success,complete,48.4375,,[0]
reacher,frozen,heldout_success,complete,35.9375,,[0]
reacher,frozen,heldout_eligible_success,complete,35.9375,,[0]
reacher,frozen,extrapolation_success,complete,17.708333333333336,,[0]
reacher,frozen,heldout_mse_h5,complete,0.059064261244808826,,[0]
reacher,framewise,canonical_success,complete,42.708333333333336,4.773516348912334,"[0, 1, 2]"
reacher,framewise,heldout_success,complete,42.708333333333336,3.2526031241658324,"[0, 1, 2]"
reacher,framewise,heldout_eligible_success,complete,42.708333333333336,3.2526031241658324,"[0, 1, 2]"
reacher,framewise,extrapolation_success,complete,21.180555555555557,5.923167399038882,"[0, 1, 2]"
reacher,framewise,heldout_mse_h5,complete,0.009246040225952533,0.00010810449174694009,"[0, 1, 2]"
reacher,single,canonical_success,complete,40.104166666666664,3.932205435036849,"[0, 1, 2]"
reacher,single,heldout_success,complete,36.458333333333336,3.932205435036849,"[0, 1, 2]"
reacher,single,heldout_eligible_success,complete,36.458333333333336,3.932205435036849,"[0, 1, 2]"
reacher,single,extrapolation_success,complete,16.84027777777778,3.348489847566998,"[0, 1, 2]"
reacher,single,heldout_mse_h5,complete,0.025046612259125647,0.00017042625079958872,"[0, 1, 2]"
reacher,factorized_unpaired,canonical_success,complete,38.020833333333336,12.72582471132356,"[0, 1, 2]"
reacher,factorized_unpaired,heldout_success,complete,34.895833333333336,9.021097956087903,"[0, 1, 2]"
reacher,factorized_unpaired,heldout_eligible_success,complete,34.895833333333336,9.021097956087903,"[0, 1, 2]"
reacher,factorized_unpaired,extrapolation_success,complete,20.833333333333332,2.604166666666668,"[0, 1, 2]"
reacher,factorized_unpaired,heldout_mse_h5,complete,0.0074564158613396915,0.00020820399645801946,"[0, 1, 2]"
reacher,factorized,canonical_success,complete,43.75,4.6875,"[0, 1, 2]"
reacher,factorized,heldout_success,complete,40.625,3.125,"[0, 1, 2]"
reacher,factorized,heldout_eligible_success,complete,40.625,3.125,"[0, 1, 2]"
reacher,factorized,extrapolation_success,complete,19.618055555555554,1.310735145012285,"[0, 1, 2]"
reacher,factorized,heldout_mse_h5,complete,0.006769628523481212,0.00012562921387921147,"[0, 1, 2]"
reacher,plain,canonical_success,complete,44.791666666666664,4.510548978043952,"[0, 1, 2]"
reacher,plain,heldout_success,complete,41.666666666666664,3.932205435036849,"[0, 1, 2]"
reacher,plain,heldout_eligible_success,complete,41.666666666666664,3.932205435036849,"[0, 1, 2]"
reacher,plain,extrapolation_success,complete,19.96527777777778,2.3485675795952576,"[0, 1, 2]"
reacher,plain,heldout_mse_h5,complete,0.007218940744798551,3.698306975361515e-05,"[0, 1, 2]"
