id,type,mode,horizon,metric,first_mse,second_mse,relative_reduction_percent,paired_difference,ci_low,ci_high,plotted_panel
contrast_00,matched_h10_training_modes,factorized vs framewise,5,h5_standardized_mse,0.15830204809169265,0.15865989760627552,0.22554503058541972,-0.00035784951458286973,-0.0005171816098796258,-0.00022058911052303916,b
contrast_01,matched_h10_training_modes,factorized vs framewise,5,mean_standardized_mse,0.11271121342151143,0.1128571349628841,0.12929757734915567,-0.0001459215413726761,-0.00021905803285540284,-8.317831462580168e-05,b
contrast_02,matched_h10_training_modes,factorized vs framewise,10,h10_standardized_mse,0.21342173720267843,0.21428933097685232,0.4048702612579483,-0.0008675937741738915,-0.0013348512135612182,-0.0004897591972431243,b
contrast_03,matched_h10_training_modes,factorized vs framewise,10,mean_standardized_mse,0.1522233828872462,0.15260724507376622,0.2515360173984255,-0.0003838621865200065,-0.0005850955602568833,-0.00021841762281454507,b
contrast_04,horizon_training_control,framewise,5,h5_standardized_mse,0.15629971032171328,0.1567124589926267,0.2633796148478828,-0.0004127486709134265,-0.0008066893659346427,-1.9911664857912858e-05,secondary
contrast_05,horizon_training_control,framewise,5,mean_standardized_mse,0.10962189989154468,0.10971738782587895,0.08703081273298897,-9.548793433426794e-05,-0.00027700894446282975,7.03749744273672e-05,secondary
contrast_06,horizon_training_control,framewise,10,h10_standardized_mse,0.21428933097685232,0.21690340582999124,1.2051792562389845,-0.0026140748531389146,-0.0038343123466260355,-0.0014849784380378125,secondary
contrast_07,horizon_training_control,framewise,10,mean_standardized_mse,0.15260724507376622,0.15345920945456978,0.5551731849992244,-0.000851964380803566,-0.0013495795585232893,-0.0003926968529073587,a
contrast_08,horizon_training_control,constant_dynamics,5,h5_standardized_mse,0.15627199162781547,0.1566375021830466,0.2333480489263604,-0.0003655105552311244,-0.0007559184577916688,2.2543337859794304e-05,secondary
contrast_09,horizon_training_control,constant_dynamics,5,mean_standardized_mse,0.10960953270233184,0.10968135335171514,0.06548118453005418,-7.182064938329735e-05,-0.00025440757309551473,9.435600830243623e-05,secondary
contrast_10,horizon_training_control,constant_dynamics,10,h10_standardized_mse,0.2142328360652251,0.21674551082069748,1.15927418563745,-0.0025126747554723716,-0.0037524973727934793,-0.00137558829099966,secondary
contrast_11,horizon_training_control,constant_dynamics,10,mean_standardized_mse,0.1525792872345792,0.15338182960742333,0.5232317119297765,-0.0008025423728441339,-0.00130438382376523,-0.00034105676724509223,a
contrast_12,horizon_training_control,factorized,5,h5_standardized_mse,0.15599596058765938,0.15623408136766945,0.15241282691046742,-0.00023812078001006487,-0.0008988014843542291,0.0006057575999659921,secondary
contrast_13,horizon_training_control,factorized,5,mean_standardized_mse,0.10950518895941207,0.10937883565721794,-0.11551896802970626,0.00012635330219412655,-0.00021517318951039615,0.0005940555602158177,secondary
contrast_14,horizon_training_control,factorized,10,h10_standardized_mse,0.21342173720267843,0.2195071696805844,2.7723160417772124,-0.0060854324779059665,-0.009358813789890003,-0.003087671239548964,secondary
contrast_15,horizon_training_control,factorized,10,mean_standardized_mse,0.1522233828872462,0.15385055856034344,1.0576339067751988,-0.0016271756730972253,-0.0027247040921048694,-0.0008036624173898631,a
contrast_16,horizon_training_control,action_free,5,h5_standardized_mse,0.1570930128792354,0.15749054234130774,0.25241481562163975,-0.0003975294620723324,-0.000672640287623613,-0.0001011863969448061,secondary
contrast_17,horizon_training_control,action_free,5,mean_standardized_mse,0.11001620363967007,0.110105277881164,0.08089915688698214,-8.90742414939305e-05,-0.00022304223794205946,5.195938433290473e-05,secondary
contrast_18,horizon_training_control,action_free,10,h10_standardized_mse,0.2149633681280884,0.21743467497085137,1.1365743955485816,-0.002471306842762977,-0.0032329403972181257,-0.0016841693656661258,secondary
contrast_19,horizon_training_control,action_free,10,mean_standardized_mse,0.15322371697166567,0.15402751337991574,0.5218524863590237,-0.0008037964082500682,-0.0011408992690407896,-0.00045790234957891887,a
